,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
de Germany,528322,511759,508304,611259.0,473201.0,460907,457577.0,453129.0,422983,386126.0,355637.0,347298,306029,289634,250491,258641,274336,273958,263908,262445,249268,255741,297204,292104,280130,288679,275801.0,267067.0,256624.0,266920.0,262534.0,242402.0,234088.0,245901.0,244759.0,288003.0,233370
no Norway,8678,8785,9844,7306.0,3491.0,3036,587.0,997.0,5564,7347.0,6866.0,2296,4605,4714,5393,1208,3148,2945,1306,0,0,1313,3471,4870,5937,8757,5129.0,9386.0,6272.0,7329.0,4667.0,6307.0,6345.0,6404.0,4963.0,2934.0,6456
pl Poland,10737,14539,12294,10447.0,11219.0,9289,12865.0,12346.0,12667,16958.0,21889.0,21010,21179,16681,17789,11000,15144,8888,17275,11921,12066,9548,10345,13757,10697,12389,12279.0,11930.0,8243.0,7068.0,7792.0,10014.0,9469.0,9913.0,6979.0,1334.0,3941
dk Denmark,9240,8632,11335,11139.0,10045.0,7030,6105.0,4670.0,8208,11095.0,10874.0,12025,7613,7156,13130,17489,19342,16820,13786,10608,5559,4095,8177,7270,10052,7154,4276.0,10896.0,16397.0,10467.0,6141.0,8239.0,8895.0,10761.0,17192.0,17111.0,13469
dd Germany DR,3806,1851,7341,35115.0,21604.0,18225,13556.0,9948.0,8206,4913.0,,1286,586,453,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
nl Netherlands,3402,3559,2790,6926.0,6005.0,6425,6165.0,9656.0,19028,19302.0,22847.0,14196,14958,16636,17205,16283,18188,16548,25397,14030,16775,16473,13548,17767,15152,11658,14580.0,9461.0,9659.0,15323.0,17042.0,21822.0,21139.0,22434.0,23472.0,19329.0,13688
cs Czechoslovakia,5041,9442,5189,7181.0,1402.0,1432,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
fi Finland,5005,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,1398,4863,3562,1378,973,2300,3207,4596,3821,841,636,28,0.0,3060.0,5729.0,5426.0,5724.0,5498.0,5021.0,3310.0,4573.0,4308.0,3051
hr Croatia,4396,4915,5235,4697.0,549.0,3294,4446.0,7316.0,12331,10824.0,17999.0,13408,24793,22326,21531,22494,17367,15681,10347,20060,14974,11838,13104,11542,9568,10328,7580.0,4572.0,6689.0,7207.0,8260.0,7954.0,7767.0,11027.0,14097.0,12175.0,10602
yu Yugoslavia,4082,4910,3381,4332.0,3724.0,504,0.0,0.0,0,1170.0,2266.0,2420,2015,654,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sct Scotland,2846,5119,771,50.0,0.0,0,0.0,0.0,2491,1301.0,2034.0,1305,720,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,632.0,0.0,0.0,0.0,0.0,0.0,268.0,249.0,751
kr Korea Republic,2480,0,0,0.0,520.0,0,0.0,0.0,0,0.0,0.0,0,126,0,914,2064,0,1603,724,0,1545,1752,1009,3030,6416,7160,8207.0,6372.0,4171.0,2065.0,2536.0,778.0,1561.0,3385.0,2547.0,4716.0,6221
is Iceland,2161,1757,1508,2225.0,2423.0,1451,1129.0,,429,2439.0,2180.0,2359,2284,1031,2170,479,53,0,218,0,0,0,1257,573,0,0,0.0,1129.0,1128.0,1814.0,1335.0,1158.0,544.0,292.0,0.0,0.0,0
si Slovenia,2152,0,0,0.0,0.0,0,0.0,819.0,2444,1.0,1802.0,18,1202,3128,1257,2131,2576,1530,0,1573,5583,8614,5233,5528,0,0,5021.0,4256.0,3773.0,2963.0,2113.0,675.0,1932.0,1899.0,1372.0,2889.0,4617
at Austria,2090,1568,0,0.0,5672.0,7001,6755.0,5173.0,16941,12621.0,10718.0,13631,10459,6951,9621,8766,3884,3922,579,1454,7186,8161,18225,17678,23399,16993,20876.0,23220.0,28729.0,28629.0,37622.0,42940.0,47042.0,35790.0,30080.0,40634.0,29601
sn Senegal,2062,2547,2813,2632.0,1371.0,1741,0.0,0.0,0,0.0,204.0,0,0,1218,2619,942,385,0,0,94,3794,3738,4069,3467,4710,3815,1439.0,4012.0,2495.0,6080.0,7782.0,5878.0,6115.0,2631.0,1906.0,106.0,0
us United States,2047,1751,2062,1756.0,4416.0,783,2629.0,4180.0,1231,6566.0,1991.0,781,863,4817,6262,3840,6306,7042,6509,6485,6407,5751,7272,10709,10648,5744,6136.0,7161.0,12157.0,8725.0,10194.0,11814.0,11876.0,10968.0,6424.0,10787.0,5410
ch Switzerland,1849,2858,2078,3232.0,3884.0,9747,7128.0,10002.0,8893,11304.0,8717.0,3539,4675,4924,9509,9006,10913,19502,18669,17442,14803,18595,10537,10443,17011,26847,35944.0,32757.0,25830.0,25566.0,28632.0,28376.0,28398.0,28089.0,20240.0,17567.0,11203
gr Greece,1670,2502,0,2263.0,788.0,362,125.0,259.0,95,307.0,933.0,2871,3369,1598,7120,5264,2888,3779,6954,8712,3902,4455,7944,8297,6246,2366,2707.0,3941.0,5999.0,7681.0,1927.0,3410.0,1843.0,6576.0,4067.0,,6833
rs Serbia,1620,566,0,3356.0,7544.0,6562,6575.0,4499.0,1291,6748.0,10188.0,6322,6103,3688,10071,5932,5158,9108,5971,9317,14790,9710,6943,8324,6963,3624,11707.0,8737.0,12622.0,11835.0,12931.0,11986.0,8904.0,5717.0,4724.0,4188.0,4236
se Sweden,1161,0,0,491.0,3067.0,5172,9870.0,7466.0,7093,5850.0,7281.0,9378,13608,10613,11744,8100,9686,1205,1981,4524,3992,5219,1476,4736,5171,3679,3966.0,6160.0,9924.0,9191.0,11302.0,9029.0,9514.0,9555.0,3780.0,6477.0,7122
jp Japan,85,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,876,1644,1985,678,2337,3907,3205,2150,6616,11452,15476,16385,22006.0,16621.0,11720.0,11433.0,9032.0,5785.0,12499.0,14522.0,19350.0,8369.0,10520
ar Argentina,84,3814,2870,4176.0,178.0,5313,2935.0,2922.0,2060,926.0,0.0,2385,1542,6914,10311,14102,10308,12615,15565,7976,4684,5782,2739,1485,3484,6862,6205.0,10883.0,6012.0,11645.0,9724.0,3806.0,4735.0,4127.0,1985.0,2433.0,1501
br Brazil,0,3331,5909,6884.0,4014.0,8280,8888.0,12844.0,8832,7937.0,12218.0,23679,21442,41374,43376,37894,38643,41473,40513,48722,52523,43245,30806,23915,23706,23143,26984.0,26666.0,19841.0,19843.0,17642.0,9534.0,10000.0,8727.0,8207.0,8587.0,8184
nz New Zealand,0,3045,2970,2419.0,2746.0,2922,887.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0
gh Ghana,0,2014,5358,4633.0,2851.0,2763,2888.0,171.0,3888,6730.0,6749.0,6760,7835,7453,7719,6058,3335,6415,4382,3380,3920,2080,5390,1727,1629,2475,3714.0,360.0,717.0,3886.0,1117.0,5317.0,1005.0,2823.0,4095.0,1673.0,172
su Soviet Union,0,1085,440,2108.0,4655.0,1420,0.0,1682.0,135,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ru Russia,0,825,2116,2985.0,4034.0,1527,4575.0,1603.0,2851,4592.0,1161.0,913,1923,1690,0,103,1,1892,2659,2369,2035,3748,6228,5518,4912,4074,2487.0,4500.0,1932.0,925.0,0.0,0.0,0.0,90.0,90.0,0.0,0
hu Hungary,0,292,0,0.0,0.0,0,0.0,0.0,207,3764.0,6960.0,10350,13019,12409,10762,8173,2574,1341,7910,6863,6118,4030,2196,3978,6115,3985,2858.0,2182.0,8085.0,6019.0,7241.0,6045.0,8548.0,10037.0,8744.0,6197.0,6878
ro Romania,0,0,5753,2772.0,3478.0,2870,2393.0,5317.0,6869,6312.0,869.0,3715,5979,6202,5047,80,110,1341,8171,7843,7426,2533,2369,552,1383,1682,1447.0,1059.0,0.0,957.0,579.0,117.0,0.0,0.0,46.0,0.0,0
cz Czech Republic,0,0,2377,2698.0,6272.0,10031,16380.0,13171.0,4476,9951.0,9988.0,8700,16247,24491,30931,19825,24821,20683,20035,24870,19363,14803,11181,19117,15606,17636,11283.0,9794.0,7896.0,10424.0,11237.0,14456.0,12021.0,5559.0,10195.0,8607.0,5754
eng England,0,0,425,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,673,2186,1660,2244,1658,1240,717,0,0,0,0,0,0,0,0.0,0.0,0.0,1499.0,3638.0,6081.0,6691.0,6218.0,7403.0,6010.0,6412
tg Togo,0,0,425,1759.0,1136.0,668,870.0,0.0,2300,2690.0,1715.0,2204,930,499,1461,0,0,0,45,0,0,23,1643,1033,493,51,,0.0,0.0,2140.0,1066.0,2102.0,2200.0,2091.0,1417.0,1636.0,0
fr France,0,0,64,270.0,35.0,0,560.0,986.0,5042,3877.0,2701.0,4785,7124,6433,6407,10940,10392,13890,4956,12695,9099,12868,7919,4466,6927,6479,9232.0,11688.0,14996.0,20978.0,25635.0,31106.0,37250.0,42047.0,46848.0,38664.0,30208
xc Commonwealth of Independent States,0,0,0,2951.0,4127.0,7497,8309.0,1990.0,2367,1617.0,2596.0,270,1600,0,440,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ma Morocco,0,0,0,1035.0,0.0,1735,1647.0,0.0,0,956.0,2046.0,466,325,140,0,0,0,2980,216,456,591,2852,2314,1915,1530,180,1151.0,1791.0,659.0,2357.0,4254.0,6363.0,3824.0,1914.0,3095.0,2416.0,1924
cr Costa Rica,0,0,0,975.0,0.0,4,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1308,1480,1432.0,868.0,,0.0,0.0,0.0,0.0,1722.0,1477.0,1187.0,162
bg Bulgaria,0,0,0,84.0,2821.0,3829,5485.0,8433.0,6907,8728.0,7292.0,6593,8807,9727,7840,7591,5783,5057,2095,6904,4823,648,234,0,0,17,,,0.0,0.0,0.0,,5.0,0.0,1730.0,1517.0,0
es Spain,0,0,0,,0.0,17,66.0,698.0,0,0.0,0.0,395,1138,0,4452,2511,2051,1923,667,0,86,0,5084,4185,10031,6362,17003.0,9891.0,14998.0,7466.0,9503.0,8690.0,7479.0,6440.0,5930.0,5141.0,3836
au Australia,0,0,0,0.0,1635.0,1238,385.0,1828.0,240,1855.0,2996.0,4610,5160,1960,447,1079,1061,90,1728,2781,1648,554,164,1663,3258,759,860.0,3101.0,2084.0,1853.0,1031.0,493.0,778.0,964.0,5.0,0.0,2888
ng Nigeria,0,0,0,0.0,1623.0,1208,1822.0,5329.0,5359,2265.0,3309.0,4283,6782,3339,3386,4254,1471,397,231,3934,2266,3332,253,1838,2045,584,2554.0,4225.0,1108.0,4047.0,1806.0,6089.0,3165.0,4703.0,2860.0,3462.0,6841
pe Peru,0,0,0,0.0,1597.0,0,0.0,0.0,0,0.0,0.0,2150,2381,1915,2313,1752,2414,2744,2915,2056,6888,6648,7344,5991,5640,4829,2342.0,3541.0,854.0,579.0,692.0,234.0,0.0,0.0,0.0,0.0,0
kz Kazakhstan,0,0,0,0.0,874.0,51,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,284,60,0,0,0,1467,0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
sk Slovakia,0,0,0,0.0,469.0,1538,584.0,,163,0.0,348.0,445,449,4179,4811,3875,8599,5019,4514,7433,3106,8975,6545,3502,3203,4855,4665.0,1292.0,3252.0,2217.0,3748.0,2114.0,5039.0,4091.0,895.0,1661.0,5142
cw Curaçao,0,0,0,0.0,,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,344.0,0.0,184.0,906.0,530.0,1.0,444.0,0.0,0.0,0
