,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
fr France,596458.0,552992.0,457416.0,441205.0,429604,406006,376671,451048,431793,406608,398694,415236,424599,406853,382617,383819,387985,394697,332290,323909.0,351379.0,367237.0,326683.0,329761.0,242141.0,335209.0,318506.0,299257.0,237649,183531.0
dz Algeria,12797.0,11095.0,7305.0,10108.0,20017,14284,11333,21570,8918,16239,12463,17879,18742,13048,9427,10091,15782,18628,16673,12781.0,20124.0,16611.0,15760.0,14560.0,20580.0,26572.0,29397.0,28735.0,14331,17784.0
cm Cameroon,10960.0,5493.0,7135.0,6452.0,13780,10610,13155,23493,18257,24502,25301,21011,13741,17210,17432,21076,27600,24389,18628,15390.0,16005.0,16819.0,17746.0,15278.0,12333.0,13718.0,18348.0,13830.0,10306,7185.0
gn Guinea,9442.0,6131.0,6874.0,5506.0,3472,5441,7810,10678,5792,4357,12005,12596,7744,5711,3370,10847,5035,7747,6616,10057.0,11007.0,13216.0,12171.0,9754.0,7468.0,5569.0,4662.0,5266.0,6636,5117.0
br Brazil,12726.0,16818.0,6719.0,4014.0,13983,21118,25673,28244,25969,39404,52569,48198,52043,48191,35154,29486,32341,35793,30746,29500.0,37503.0,41980.0,58756.0,49236.0,29792.0,32012.0,41099.0,34037.0,22144,23608.0
pl Poland,5993.0,15068.0,6677.0,6788.0,6219,3369,3413,2821,2666,3204,3927,4328,6207,9683,8443,7840,6856,5397,5383,837.0,1536.0,9413.0,3678.0,3658.0,2160.0,1400.0,4514.0,7418.0,6506,5352.0
dk Denmark,5352.0,1246.0,3200.0,1933.0,1351,3562,1613,0,0,0,2558,2007,2176,4314,0,26,8195,3777,12447,18917.0,9323.0,3689.0,4197.0,2090.0,3579.0,2120.0,1492.0,10120.0,6117,4690.0
ci Côte d'Ivoire,3746.0,6655.0,9904.0,7102.0,6113,7763,14761,14528,24331,22682,29576,24280,16713,16357,16288,25399,34116,24644,24593,24537.0,30878.0,22930.0,29607.0,29260.0,18896.0,30610.0,18946.0,23215.0,23033,28367.0
sn Senegal,6430.0,2265.0,6286.0,8714.0,18568,22446,26245,33248,29111,36533,27520,30322,31522,30619,35859,34724,27296,29935,47792,40244.0,35826.0,31320.0,39178.0,28655.0,26165.0,30505.0,21420.0,22014.0,24592,16498.0
mg Madagascar,5873.0,11852.0,7687.0,5283.0,3204,3056,0,1993,0,0,0,2520,2490,3183,1598,2550,2774,3796,3513,8111.0,2589.0,2541.0,5639.0,4857.0,3849.0,4647.0,771.0,4028.0,2970,3050.0
tn Tunisia,5426.0,5564.0,2342.0,4306.0,965,1811,6362,8698,9755,12280,10476,7053,3797,10156,15536,10013,10474,12424,5963,13389.0,13621.0,9666.0,13427.0,13077.0,2221.0,5199.0,7154.0,10026.0,3347,2122.0
lr Liberia,5340.0,5389.0,1955.0,602.0,700,1859,597,323,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
